City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
187,Oranjemund,NA,2022-08-04 16:07:55,-28.55,16.4333,286.36,77,0,5.44
188,Zavyalovo,RU,2022-08-04 16:07:55,54.5053,82.4484,288.99,61,48,3.75
189,Dharchula,IN,2022-08-04 16:07:56,29.85,80.5333,296.62,91,100,0.47
190,Boqueirao,BR,2022-08-04 16:07:56,-7.5,-36.1333,299.17,68,72,6.17
191,Bull Savanna,JM,2022-08-04 16:07:57,17.8868,-77.5902,301.96,58,100,4.48
192,Ontario,US,2022-08-04 16:04:39,34.0633,-117.6509,304.16,67,75,3.09
193,Vallenar,CL,2022-08-04 16:07:58,-28.5708,-70.7581,293.85,15,0,1.08
194,Taree,AU,2022-08-04 16:07:58,-31.9,152.4667,290.99,100,100,2.06
195,Mut,TR,2022-08-04 16:07:59,36.6439,33.4389,308.71,33,0,3.65
196,Hofn,IS,2022-08-04 16:07:59,64.2539,-15.2082,285.16,54,75,7.72
197,Esperance,AU,2022-08-04 16:08:00,-33.8667,121.9,283.06,70,72,10.05
198,Collie,AU,2022-08-04 16:08:00,-33.3667,116.15,280.87,88,74,1.56
199,Estevan,CA,2022-08-04 16:08:01,49.1334,-102.9842,296.34,30,5,3.79
200,Sitka,US,2022-08-04 16:08:01,57.0531,-135.33,288.09,82,100,1.54
201,Mirador,BR,2022-08-04 16:08:02,-6.3708,-44.3631,305.36,40,73,4.13
202,Umm Kaddadah,SD,2022-08-04 16:08:02,13.6017,26.6876,307.81,30,91,2.31
203,Klaksvik,FO,2022-08-04 16:08:03,62.2266,-6.589,283.66,80,70,9.3
204,Sinnamary,GF,2022-08-04 16:08:04,5.3833,-52.95,302.82,65,38,4.39
205,Salalah,OM,2022-08-04 16:08:04,17.0151,54.0924,298.2,100,100,2.06
206,Saint-Gaudens,FR,2022-08-04 16:08:05,43.0833,0.6667,303.72,58,72,4.48
207,Maragogi,BR,2022-08-04 16:08:05,-9.0122,-35.2225,299.4,70,20,5.7
208,Namibe,AO,2022-08-04 16:07:17,-15.1961,12.1522,292.24,70,3,4.69
209,Fort Saint James,CA,2022-08-04 16:08:06,54.4333,-124.25,282.63,96,100,1.34
210,Ballina,AU,2022-08-04 16:08:06,-28.8667,153.5667,290.94,91,51,7.04
211,Santa Lucia,ES,2022-08-04 16:05:39,27.9117,-15.5407,295.8,65,20,15.43
212,Mindelo,CV,2022-08-04 16:08:08,16.8901,-24.9804,297.15,77,65,4.65
213,Mount Gambier,AU,2022-08-04 16:08:09,-37.8333,140.7667,283.1,93,75,6.69
214,Parabel,RU,2022-08-04 16:08:09,58.6978,81.4825,287.86,69,15,2.59
215,Baykit,RU,2022-08-04 16:04:48,61.67,96.37,279.99,92,100,2.07
216,Lata,PT,2022-08-04 16:08:10,40.1629,-8.3327,301.75,51,94,4.59
217,Norman Wells,CA,2022-08-04 16:08:10,65.282,-126.8329,290.06,67,31,0.94
218,Huangmei,CN,2022-08-04 16:08:11,30.1924,116.025,301.46,70,0,1.76
219,Guangyuan,CN,2022-08-04 16:08:12,32.442,105.823,297.48,93,13,0.45
220,Kishni,IN,2022-08-04 16:08:13,27.0247,79.2634,305.02,62,100,3.54
221,Broken Hill,AU,2022-08-04 16:08:13,-31.95,141.4333,284.56,43,0,6.17
222,Matara,LK,2022-08-04 16:08:14,5.9485,80.5353,298.62,84,100,6.16
223,Basco,PH,2022-08-04 16:08:14,20.4487,121.9702,302.39,75,71,6.19
224,Mount Isa,AU,2022-08-04 16:08:15,-20.7333,139.5,296.02,56,40,4.63
225,Farah,AF,2022-08-04 16:09:15,32.5,62.5,305.72,14,0,4.74
226,Avera,US,2022-08-04 16:09:16,33.194,-82.5271,303.46,53,11,2.3
227,Beringovskiy,RU,2022-08-04 16:08:45,63.05,179.3167,282.2,81,53,0.92
228,Vao,NC,2022-08-04 16:09:17,-22.6667,167.4833,295.32,85,99,6.39
229,Arman,RU,2022-08-04 16:09:17,59.7,150.1667,288.16,96,94,1.11
230,Smithers,CA,2022-08-04 16:04:52,54.7804,-127.1743,283.73,91,100,1.25
231,Warmbad,NA,2022-08-04 16:09:18,-28.45,18.7333,293.13,34,0,3.95
232,Aklavik,CA,2022-08-04 16:09:18,68.2191,-135.0107,290.09,61,76,3.68
233,Shakiso,ET,2022-08-04 16:07:16,5.75,38.9167,290.42,69,89,0.96
234,Castro,BR,2022-08-04 16:09:19,-24.7911,-50.0119,298.47,40,6,6.12
235,Kavieng,PG,2022-08-04 16:09:20,-2.5744,150.7967,300.83,78,95,5.94
236,Tazovskiy,RU,2022-08-04 16:09:20,67.4667,78.7,289.98,61,47,2.24
237,Biltine,TD,2022-08-04 16:09:21,14.5333,20.9167,304.07,50,99,2.59
238,Masuguru,TZ,2022-08-04 16:09:21,-11.3667,38.4167,301.73,26,34,2.2
239,Margate,GB,2022-08-04 16:05:57,51.3813,1.3862,297.52,63,45,2.68
240,Maumere,ID,2022-08-04 16:09:23,-8.6199,122.2111,296.81,74,86,2.93
241,Kendari,ID,2022-08-04 16:09:24,-3.945,122.4989,296.51,89,29,0.52
242,Grand-Lahou,CI,2022-08-04 16:09:24,5.1367,-5.0242,297.99,72,83,3.49
243,Kieta,PG,2022-08-04 16:09:25,-6.2167,155.6333,298.74,86,93,1.77
244,Lazaro Cardenas,MX,2022-08-04 16:09:25,17.9583,-102.2,302.92,71,35,0.1
245,Sisimiut,GL,2022-08-04 16:09:26,66.9395,-53.6735,280.77,82,100,5.53
246,Gat,IL,2022-08-04 16:09:26,31.61,34.7642,305.59,100,0,5.72
247,Mogadishu,SO,2022-08-04 16:05:21,2.0371,45.3438,297.74,83,37,8.28
248,Kawalu,ID,2022-08-04 16:09:27,-7.3817,108.2082,293.7,98,29,0.11
249,Mnogovershinnyy,RU,2022-08-04 16:09:28,53.9353,139.9242,286.23,98,100,0.67
250,Roma,US,2022-08-04 16:09:29,43.2128,-75.4557,305.75,64,20,4.12
251,Nome,US,2022-08-04 16:04:33,64.5011,-165.4064,284.91,100,100,7.2
252,Nouakchott,MR,2022-08-04 16:07:08,18.0858,-15.9785,303.11,73,84,5.58
